title_clean,venue_clean,authors_raw,authors_parsed,authors_is_missing,doi_clean,doi_prefix,doi_suffix_head,doi_suffix_head_missing,Label
copredication and ontological mutability.,kr,Mathias Guenther,mathias guenther,0,10.1007/978-3-030-21186-8 2,10.1007,,1,2
fitting ontologies and constraints to relational structures.,kr,"Simon Hosemann, Jean Christoph Jung, Carsten Lutz, Sebastian Rudolph",simon hosemann | jean christoph jung | carsten lutz | sebastian rudolph,0,10.24963/kr.2025/40,10.24963,kr,0,5
translating p-log lpmln lpod and cr-prolog2 into standard answer set programs.,iclp,"Joohyung Lee, Zhun Yang",joohyung lee | zhun yang,0,10.29007/d8rl,10.29007,d,0,2
property directed reachability for planning revisited.,kr,"Ava Clifton, Charles Gretton",ava clifton | charles gretton,0,10.24963/kr.2023/16,10.24963,kr,0,2
abstractions of queries in ontology-based data access.,kr,"Michel Leclère, Marie-Laure Mugnier, Guillaume Pérution-Kihli",michel lecl re | marie-laure mugnier | guillaume p rution-kihli,0,10.24963/kr.2025/43,10.24963,kr,0,4
mutex graphs and multicliques: reducing grounding size for planning.,iclp,"David Spies, Jia-Huai You, Ryan Hayward",david spies | jia-huai you | ryan hayward,0,10.4204/eptcs.306.20,10.4204,eptcs,0,1
grounded fixpoints and active integrity constraints.,iclp,"Bart Bogaerts, Joost Vennekens, Marc Denecker",bart bogaerts | joost vennekens | marc denecker,0,10.1609/aaai.v29i1.9388,10.1609,aaai,0,2
computing h-partitions in asp and datalog.,iclp,"R. S. Bird, O. de Moor",r. s. bird | o. de moor,0,10.1007/bf01211316,10.1007,bf,0,3
mathematical foundations for joining only knowing and common knowledge.,kr,"Marcos Cramer, Samuele Pollaci, Bart Bogaerts",marcos cramer | samuele pollaci | bart bogaerts,0,10.24963/kr.2023/17,10.24963,kr,0,5
a normative model of explanation for binary classification legal ai and its implementation on causal explanations of answer set programming.,iclp,Haodi Zhang,haodi zhang,0,10.14711/thesis-b1584877,10.14711,thesis,0,5
solving assembly line workload smoothing problem via answer set programming.,iclp,Omar El-Khatib,omar el-khatib,0,10.1109/csci.2016.0098,10.1109,csci,0,2
extending answer set programs with neural networks.,iclp,Zhun Yang,zhun yang,0,10.4204/eptcs.325.41,10.4204,eptcs,0,5
a singly exponential transformation of ltl x f into pure past ltl.,kr,"Alessandro Artale, Luca Geatti, Nicola Gigante, Andrea Mazzullo, Angelo Montanari",alessandro artale | luca geatti | nicola gigante | andrea mazzullo | angelo montanari,0,10.24963/kr.2023/7,10.24963,kr,0,1
an epistemic theory of deductive arguments.,kr,Emiliano Lorini,emiliano lorini,0,10.24963/kr.2025/44,10.24963,kr,0,5
statistical syllogistic tableaux.,iclp,"Domenico Cantone, Eugenio Omodeo, Alberto Policriti",domenico cantone | eugenio omodeo | alberto policriti,0,10.1007/978-1-4757-3452-2 14,10.1007,,1,2
empowering public interest communication with argumentation - project report short paper .,iclp,Alejandra Casas Niño de Rivera,alejandra casas ni o de rivera,0,10.59350/yvcg5-eb965,10.59350,yvcg,0,1
hybrid answer set programming: foundations and applications.,iclp,Nicolas Rühling,nicolas r hling,0,10.4204/eptcs.416.38,10.4204,eptcs,0,5
natlog: embedding logic programming into the python deep-learning ecosystem.,iclp,Paul Tarau,paul tarau,0,10.4204/eptcs.385.15,10.4204,eptcs,0,5
probkanren: a simple probabilistic extension for microkanren.,iclp,Rohit Dhormare,rohit dhormare,0,10.20944/preprints202506.0043.v1,10.20944,preprints,0,3
a brief discussion about the credal semantics for probabilistic answer set programs.,iclp,Damiano Azzolini,damiano azzolini,0,10.4204/eptcs.385.30,10.4204,eptcs,0,5
inductive learning of declarative domain-specific heuristics for asp.,iclp,Richard Comploi-Taupe,richard comploi-taupe,0,10.4204/eptcs.385.14,10.4204,eptcs,0,4
qiana: a first-order formalism to quantify over contexts and formulas.,kr,"Simon Coumes, Pierre-Henri Paris, François Schwarzentruber, Fabian Suchanek",simon coumes | pierre-henri paris | fran ois schwarzentruber | fabian suchanek,0,10.1613/jair.1.18402,10.1613,jair,0,2
on verifying and generating robust plans for planning tasks with exogenous events.,kr,"Lukas Chrpa, Erez Karpas",lukas chrpa | erez karpas,0,10.24963/kr.2024/26,10.24963,kr,0,2
probabilistic declarative process mining.,iclp,"Anti Alman, Fabrizio Maria Maggi, Marco Montali, Rafael Peñaloza",anti alman | fabrizio maria maggi | marco montali | rafael pe aloza,0,10.1016/j.is.2022.102033,10.1016,j,0,4
revisiting inferential benchmarks for knowledge graph completion.,kr,"Shuwen Liu, Bernardo Cuenca Grau, Ian Horrocks, Egor V. Kostylev",shuwen liu | bernardo cuenca grau | ian horrocks | egor v. kostylev,0,10.24963/kr.2023/45,10.24963,kr,0,4
platform for introducing logic programming in bulgarian secondary schools - ideas intelligent data educational analysis system .,iclp,"Veneta Tabakova-Komsalova, Ivan Stoyanov, George Cholakov, Magdalena Maglizhanova",veneta tabakova-komsalova | ivan stoyanov | george cholakov | magdalena maglizhanova,0,10.18421/tem134-56,10.18421,tem,0,1
automated planning with ontologies under coherence update semantics.,kr,"Stefan Borgwardt, Duy Nhu, Gabriele Röger",stefan borgwardt | duy nhu | gabriele r ger,0,10.24963/kr.2025/72,10.24963,kr,0,5
blending grounding and compilation for efficient asp solving.,kr,"Carmine Dodaro, Giuseppe Mazzotta, Francesco Ricca",carmine dodaro | giuseppe mazzotta | francesco ricca,0,10.24963/kr.2024/30,10.24963,kr,0,4
quantitative and stream extensions of answer set programming.,iclp,Rafael Kiesel,rafael kiesel,0,10.4204/eptcs.345.43,10.4204,eptcs,0,4
preference-based abstract argumentation for case-based reasoning.,kr,"Adam Gould, Guilherme Paulino-Passos, Seema Dadhania, Matthew Williams, Francesca Toni",adam gould | guilherme paulino-passos | seema dadhania | matthew williams | francesca toni,0,10.24963/kr.2024/37,10.24963,kr,0,3
exp aspc : explaining asp programs with choice atoms and constraint rules.,iclp,"Ly Ly Trieu, Tran Cao Son, Marcello Balduccini",ly ly trieu | tran cao son | marcello balduccini,0,10.4204/eptcs.345.28,10.4204,eptcs,0,5
symmetries and expressive requirements for learning general policies.,kr,"Dominik Drexler, Simon Ståhlberg, Blai Bonet, Hector Geffner",dominik drexler | simon st hlberg | blai bonet | hector geffner,0,10.24963/kr.2024/79,10.24963,kr,0,2
routing and scheduling in different ways: abridged preliminary report.,iclp,,,1,10.1021/acs.iecr.8b00799.s001,10.1021,acs,0,1
advancing interactive explainable ai via belief change theory.,kr,"Antonio Rago, Maria Vanina Martinez",antonio rago | maria vanina martinez,0,10.24963/kr.2024/87,10.24963,kr,0,5
inconsistency handling in prioritized databases with universal constraints: complexity analysis and links with active integrity constraints.,kr,"Meghyn Bienvenu, Camille Bourgaux",meghyn bienvenu | camille bourgaux,0,10.24963/kr.2023/10,10.24963,kr,0,2
tabling optimization for contextual abduction.,iclp,"Ridhwan Dewoprabowo, Ari Saptawijaya",ridhwan dewoprabowo | ari saptawijaya,0,10.4204/eptcs.325.20,10.4204,eptcs,0,3
formally explaining decision tree models with answer set programming.,iclp,"Akihiro Takemura, Masayuki Otani, Katsumi Inoue",akihiro takemura | masayuki otani | katsumi inoue,0,10.4204/eptcs.439.29,10.4204,eptcs,0,5
on feasibility of declarative diagnosis.,iclp,Włodzimierz Drabent,w odzimierz drabent,0,10.4204/eptcs.385.20,10.4204,eptcs,0,2
learning asp domain-specific heuristics using transformers.,iclp,Marcello Balduccini,marcello balduccini,0,10.3233/aic-2011-0493,10.3233,aic,0,5
// efficient declarative solutions in picat for optimal multi-agent pathfinding.,iclp,"Roman Bartak, Neng-Fa Zhou, Roni Stern, Eli Boyarski, Pavel Surynek",roman bartak | neng-fa zhou | roni stern | eli boyarski | pavel surynek,0,10.1109/ictai.2017.00147,10.1109,ictai,0,1
tree-like justification systems are consistent.,iclp,"Simon Marynissen, Bart Bogaerts",simon marynissen | bart bogaerts,0,10.4204/eptcs.364.1,10.4204,eptcs,0,1
depth-bounded epistemic planning.,kr,"Thomas Bolander, Alessandro Burigana, Marco Montali",thomas bolander | alessandro burigana | marco montali,0,10.24963/kr.2025/70,10.24963,kr,0,1
link prediction in knowledge graphs with probabilistic logic programming: work in progress.,iclp,"LUIGI BELLOMARINI, ELEONORA LAURENZA, EMANUEL SALLINGER, EVGENY SHERKHONOV",luigi bellomarini | eleonora laurenza | emanuel sallinger | evgeny sherkhonov,0,10.1017/s1471068422000412,10.1017,s,0,4
nemo: first glimpse of a new rule engine.,iclp,"Alex Ivliev, Stefan Ellmauthaler, Lukas Gerlach, Maximilian Marx, Matthias Meißner, Simon Meusel, Markus Krötzsch",alex ivliev | stefan ellmauthaler | lukas gerlach | maximilian marx | matthias mei ner | simon meusel | markus kr tzsch,0,10.4204/eptcs.385.35,10.4204,eptcs,0,2
proceedings 39th international conference on logic programming iclp 2023 imperial college london uk 9th july 2023 - 15th july 2023.,iclp,", Zhaoyang Jacopo Hu, Longrui Chen, , Yanpei Huang, , Etienne Burdet, , Ferdinando Rodriguez Y Baena, ",zhaoyang jacopo hu | longrui chen | yanpei huang | etienne burdet | ferdinando rodriguez y baena,0,10.31256/hsmr2023.57,10.31256,hsmr,0,1
a low-level index for distributed logic programming.,iclp,Thomas Prokosch,thomas prokosch,0,10.4204/eptcs.325.40,10.4204,eptcs,0,2
learning and contesting assumption-based argumentation frameworks invited talk .,iclp,"Ofer Arieli, Jesse Heyninck",ofer arieli | jesse heyninck,0,10.2139/ssrn.4850544,10.2139,ssrn,0,2
imperative program synthesis from answer set programs.,iclp,Sarat Chandra Varanasi,sarat chandra varanasi,0,10.4204/eptcs.306.55,10.4204,eptcs,0,4
generating local search neighborhood with synthesized logic programs.,iclp,"Mateusz Ślażyński, Salvador Abreu, Grzegorz J. Nalepa",mateusz la y ski | salvador abreu | grzegorz j. nalepa,0,10.4204/eptcs.306.22,10.4204,eptcs,0,5
a reduct-based approach to skeptical preferred reasoning in abstract argumentation.,kr,"Lars Bengel, Julian Sander, Matthias Thimm",lars bengel | julian sander | matthias thimm,0,10.24963/kr.2025/13,10.24963,kr,0,3
on conflict-free labellings - realizability construction and patterns of redundancy.,kr,"Ringo Baumann, Anne-Marie Heine",ringo baumann | anne-marie heine,0,10.24963/kr.2023/70,10.24963,kr,0,5
lp-lm: no hallucinations in question answering with logic programming.,iclp,"Katherine Wu, Yanhong A. Liu",katherine wu | yanhong a. liu,0,10.4204/eptcs.416.5,10.4204,eptcs,0,3
order-sorted intensional logic: expressing subtyping polymorphism with typing assertions and quantification over concepts.,iclp,"Đorđe Marković, Marc Denecker",or e markovi | marc denecker,0,10.4204/eptcs.416.22,10.4204,eptcs,0,1
optimisation and approximation in abstract argumentation: the case of admissibility.,kr,"Kenneth Skiba, Matthias Thimm",kenneth skiba | matthias thimm,0,10.24963/kr.2024/63,10.24963,kr,0,3
a logic-based multi-agent system for ethical monitoring and evaluation of dialogues.,iclp,"Abeer Dyoub, Stefania Costantini, Ivan Letteri, Francesca A. Lisi",abeer dyoub | stefania costantini | ivan letteri | francesca a. lisi,0,10.4204/eptcs.345.32,10.4204,eptcs,0,2
strategy logic imperfect information and hyperproperties.,kr,"Raven Beutner, Bernd Finkbeiner",raven beutner | bernd finkbeiner,0,10.24963/kr.2025/15,10.24963,kr,0,3
halting recurrent gnns and the graded mu-calculus.,kr,"Jeroen Bollen, Jan Van den Bussche, Stijn Vansummeren, Jonni Virtema",jeroen bollen | jan van den bussche | stijn vansummeren | jonni virtema,0,10.24963/kr.2025/18,10.24963,kr,0,2
constrained default logic programming.,iclp,David Poole,david poole,0,10.1093/oso/9780198537472.003.0004,10.1093,oso,0,4
on the potential of clip for compositional logical reasoning.,iclp,Justin Brody,justin brody,0,10.4204/eptcs.385.10,10.4204,eptcs,0,2
integration of logical english and s casp .,iclp,,,1,10.3403/01582237,10.3403,,1,4
iterative asp pipelines: enhancements for robots playing mobile games.,iclp,,,1,10.1201/b14610-10,10.1201,b,0,4
on the translation of asp rules to controlled natural language sentences.,iclp,"SIMONE CARUSO, CARMINE DODARO, MARCO MARATEA, MARCO MOCHI, FRANCESCO RICCIO",simone caruso | carmine dodaro | marco maratea | marco mochi | francesco riccio,0,10.1017/s1471068423000388,10.1017,s,0,4
a methodology for incompleteness-tolerant and modular gradual semantics for argumentative statement graphs.,kr,"Antonio Rago, Stylianos Loukas Vasileiou, Son Tran, Francesca Toni, William Yeoh",antonio rago | stylianos loukas vasileiou | son tran | francesca toni | william yeoh,0,10.24963/kr.2025/49,10.24963,kr,0,2
gradient-based supported model computation in vector spaces.,iclp,"Taisuke Sato, Chiaki Sakama, Katsumi Inoue",taisuke sato | chiaki sakama | katsumi inoue,0,10.5220/0009093407580765,10.5220,,1,4
abstraction in assumption-based argumentation.,kr,"Iosif Apostolakis, Zeynep G. Saribatur, Johannes P. Wallner",iosif apostolakis | zeynep g. saribatur | johannes p. wallner,0,10.24963/kr.2024/5,10.24963,kr,0,5
model checking linear temporal logic with standpoint modalities.,kr,"Rajab Aghamov, Christel Baier, Toghrul Karimov, Rupak Majumdar, Joël Ouaknine, Jakob Piribauer, Timm Spork",rajab aghamov | christel baier | toghrul karimov | rupak majumdar | jo l ouaknine | jakob piribauer | timm spork,0,10.24963/kr.2025/1,10.24963,kr,0,2
communication with individuals with disabilities and the role of llms: progress report.,kr,Amogh Khaparde,amogh khaparde,0,10.58445/rars.1653,10.58445,rars,0,1
a coq formalization of unification modulo exclusive-or.,iclp,"Yichi Xu, Daniel J. Dougherty, Rose Bohrer",yichi xu | daniel j. dougherty | rose bohrer,0,10.4204/eptcs.416.23,10.4204,eptcs,0,1
axiomatic characterisations of argumentation semantics.,kr,Leila Amgoud,leila amgoud,0,10.24963/kr.2025/4,10.24963,kr,0,2
from infinite to finite traces and back: linear temporal logic in sequential decision making.,kr,"Luca Geatti, Alessandro Gianola, Nicola Gigante",luca geatti | alessandro gianola | nicola gigante,0,10.24963/ijcai.2022/366,10.24963,ijcai,0,1
temporal conditional reasoning with weighted knowledge bases.,iclp,Christian Eichhorn,christian eichhorn,0,10.1007/978-3-476-04824-0 6,10.1007,,1,3
reliable natural language understanding with large language models and answer set programming.,iclp,"Abhiramon Rajasekharan, Yankai Zeng, Parth Padalkar, Gopal Gupta",abhiramon rajasekharan | yankai zeng | parth padalkar | gopal gupta,0,10.4204/eptcs.385.27,10.4204,eptcs,0,5
neuro-symbolic contrastive learning for cross-domain inference.,iclp,"Mingyue Liu, Ryo Ueda, Zhen Wan, Katsumi Inoue, Chris G. Willcocks",mingyue liu | ryo ueda | zhen wan | katsumi inoue | chris g. willcocks,0,10.4204/eptcs.416.6,10.4204,eptcs,0,4
counterfactual scenarios for automated planning.,kr,"Nicola Gigante, Francesco Leofante, Andrea Micheli",nicola gigante | francesco leofante | andrea micheli,0,10.24963/kr.2025/76,10.24963,kr,0,2
presburger functional synthesis: complexity and tractable normal forms.,kr,"S. Akshay, A. R. Balasubramanian, Supratik Chakraborty, Georg Zetzsche",s. akshay | a. r. balasubramanian | supratik chakraborty | georg zetzsche,0,10.24963/kr.2025/2,10.24963,kr,0,2
justifications and blocking sets in a rule-based answer set computation.,iclp,,,1,10.1017/cbo9781139342124.008,10.1017,cbo,0,2
proper linear-time specifications of environment behaviors in nondeterministic planning and reactive synthesis.,kr,"Benjamin Aminof, Giuseppe De Giacomo, Sasha Rubin, Florian Zuleger",benjamin aminof | giuseppe de giacomo | sasha rubin | florian zuleger,0,10.24963/kr.2024/4,10.24963,kr,0,2
a fixpoint characterization of three-valued disjunctive hybrid mknf knowledge bases.,iclp,"Spencer Killen, Jia-Huai You",spencer killen | jia-huai you,0,10.4204/eptcs.364.6,10.4204,eptcs,0,1
efficient volume computation for smt formulas.,kr,"Arijit Shaw, Uddalok Sarkar, Kuldeep S. Meel",arijit shaw | uddalok sarkar | kuldeep s. meel,0,10.24963/kr.2025/53,10.24963,kr,0,2
extended abstract: a reliable common-sense reasoning socialbot built using llms and goal-directed asp.,iclp,"YANKAI ZENG, ABHIRAMON RAJASEKHARAN, KINJAL BASU, HUADUO WANG, JOAQUÍN ARIAS, GOPAL GUPTA",yankai zeng | abhiramon rajasekharan | kinjal basu | huaduo wang | joaqu n arias | gopal gupta,0,10.1017/s147106842400022x,10.1017,s,0,3
extending abstract argumentation frameworks with knowledge bases.,kr,"Gianvincenzo Alfano, Sergio Greco, Cristian Molinaro, Francesco Parisi, Irina Trubitsyna",gianvincenzo alfano | sergio greco | cristian molinaro | francesco parisi | irina trubitsyna,0,10.24963/kr.2025/3,10.24963,kr,0,4
on llm-generated logic programs and their inference execution methods.,iclp,Paul Tarau,paul tarau,0,10.4204/eptcs.416.1,10.4204,eptcs,0,5
modular stochastic rewritable petri nets.,iclp,,,1,10.1002/9781394388660.ch3,10.1002,ch,0,5
regular typed unification.,iclp,"João Barbosa, Mário Florido, Vítor Santos Costa",jo o barbosa | m rio florido | v tor santos costa,0,10.4204/eptcs.416.21,10.4204,eptcs,0,1
approximating weakly preferred semantics in abstract argumentation through vacuous reduct semantics.,kr,"Lydia Blümel, Matthias Thimm",lydia bl mel | matthias thimm,0,10.24963/kr.2023/11,10.24963,kr,0,1
